game.frametime_average,game.frametime_variance,game.time,network.acks_received,network.acks_sent,network.adapter,network.bytes_received,network.bytes_sent,network.connects,network.connects_received,network.connects_rejected,network.connects_sent,network.disconnects,network.messages_limited,network.messages_received,network.messages_redundant,network.messages_resent,network.messages_sent,network.never_connected,network.packets_acked,network.packets_limited,network.packets_lost,network.packets_outofseq,network.packets_received,network.packets_sent,network.peer_address,network.peer_port,network.processing_time,network.reconnects,network.reconnects_rejected,network.rtt_average,network.rtt_jitter,network.status,player.id,stats.duration,stats.version,
0.007245,0.000001,700.072632,272,313,Ethernet,80038,19523,0,0,0,0,0,0,1972,0,0,357,0,272,0,0,0,585,585,162.249.78.111,5277,0.015818,0,0,0.124423,0.005128,Connected,150742302,10.004795,7,
0.007178,0.000000,710.078796,247,320,Ethernet,103085,18472,0,0,0,0,0,0,3026,0,0,331,0,247,0,0,0,567,568,162.249.78.111,5277,0.015934,0,0,0.122008,0.005260,Connected,150742302,10.005848,7,
0.007373,0.000001,720.084656,230,349,Ethernet,110578,18909,0,0,0,0,0,0,3410,0,0,316,0,230,0,0,0,579,577,162.249.78.111,5277,0.015859,0,0,0.122501,0.005343,Connected,150742302,10.005447,7,
0.007139,0.000001,730.087158,224,342,Ethernet,103592,18080,0,0,0,0,0,0,3225,0,0,288,0,224,0,0,0,566,564,162.249.78.111,5277,0.015457,0,0,0.125430,0.004659,Connected,150742302,10.002003,7,
0.007191,0.000001,740.090576,257,330,Ethernet,94876,19812,0,0,0,0,0,0,2815,0,0,342,0,257,0,0,0,587,588,162.249.78.111,5277,0.015899,0,0,0.123357,0.005122,Connected,150742302,10.003158,7,
0.007365,0.000005,750.092285,259,333,Ethernet,109990,20276,0,0,0,0,0,0,2918,0,0,355,0,259,0,0,0,592,594,162.249.78.111,5277,0.016256,0,0,0.123258,0.006208,Connected,150742302,10.001148,7,
0.007161,0.000000,760.097412,270,329,Ethernet,99138,19874,0,0,0,0,0,0,2419,0,0,347,0,270,0,0,0,599,597,162.249.78.111,5277,0.015955,0,0,0.120309,0.003909,Connected,150742302,10.004467,7,
0.007160,0.000000,770.100891,249,319,Ethernet,100054,18145,0,0,0,0,0,0,2700,0,0,324,0,249,0,0,0,568,568,162.249.78.111,5277,0.015714,0,0,0.119867,0.003439,Connected,150742302,10.003046,7,
0.007619,0.000001,780.105286,275,374,Ethernet,130548,21992,0,0,0,0,0,0,3110,0,0,373,0,275,0,0,0,649,651,162.249.78.111,5277,0.017525,0,0,0.121572,0.005157,Connected,150742302,10.004290,7,
0.007227,0.000001,790.108032,268,349,Ethernet,102381,20833,0,0,0,0,0,0,2775,0,0,359,0,268,0,0,0,617,617,162.249.78.111,5277,0.016491,0,0,0.122986,0.006108,Connected,150742302,10.002015,7,
0.007526,0.000001,800.109863,266,327,Ethernet,104293,19358,0,0,0,0,0,0,3179,0,0,357,0,266,0,0,0,593,592,162.249.78.111,5277,0.017062,0,0,0.121859,0.005218,Connected,150742302,10.001673,7,
0.007307,0.000001,810.112976,247,331,Ethernet,101245,18960,0,0,0,0,0,0,2822,0,0,349,0,247,0,0,0,578,578,162.249.78.111,5277,0.015829,0,0,0.122603,0.005959,Connected,150742302,10.002907,7,
0.007100,0.000000,820.116943,189,318,Ethernet,82172,16246,0,0,0,0,0,0,2445,0,0,250,0,189,0,0,0,507,505,162.249.78.111,5277,0.013211,0,0,0.122440,0.005593,Connected,150742302,10.003595,7,
0.007094,0.000000,830.119263,223,294,Ethernet,75336,17020,0,0,0,0,0,0,2364,0,0,300,0,223,0,0,0,517,518,162.249.78.111,5277,0.014108,0,0,0.126849,0.004186,Connected,150742302,10.002458,7,
0.007112,0.000000,840.125916,252,308,Ethernet,84169,19089,0,0,0,0,0,0,2509,0,0,339,0,252,0,0,0,560,560,162.249.78.111,5277,0.015276,0,0,0.123398,0.004897,Connected,150742302,10.006279,7,
0.007197,0.000001,850.130249,259,351,Ethernet,104153,20487,0,0,0,0,0,0,2900,0,0,335,0,259,0,0,0,610,611,162.249.78.111,5277,0.016113,0,0,0.122386,0.005358,Connected,150742302,10.003996,7,
0.007316,0.000001,860.131958,271,336,Ethernet,109344,20825,0,0,0,0,0,0,3155,0,0,371,0,271,0,0,0,607,608,162.249.78.111,5277,0.016810,0,0,0.122412,0.006305,Connected,150742302,10.000379,7,
0.007327,0.000002,870.132629,288,342,Ethernet,108147,21617,0,0,0,0,0,0,2685,0,0,392,0,288,0,0,0,630,630,162.249.78.111,5277,0.016855,0,0,0.122900,0.006282,Connected,150742302,10.000940,7,
0.007157,0.000001,880.139526,251,344,Ethernet,112795,19219,0,0,0,0,0,0,3103,0,0,328,0,251,0,0,0,595,595,162.249.78.111,5277,0.016162,0,0,0.120887,0.003479,Connected,150742302,10.005923,7,
0.007205,0.000002,890.140320,234,338,Ethernet,106870,18472,0,0,0,0,0,0,3370,0,0,311,0,234,0,0,0,572,572,162.249.78.111,5277,0.016188,0,0,0.120804,0.004401,Connected,150742302,10.000377,7,
0.007085,0.000000,900.145325,227,296,Ethernet,78086,16809,0,0,0,0,0,0,2230,0,0,290,0,227,0,0,0,523,523,162.249.78.111,5277,0.013787,0,0,0.121075,0.004103,Connected,150742302,10.004007,7,
0.007371,0.000001,910.147888,267,368,Ethernet,114766,21092,0,0,0,0,0,0,3128,0,0,358,0,267,0,0,0,635,634,162.249.78.111,5277,0.017088,0,0,0.121311,0.005009,Connected,150742302,10.002481,7,
